species_id,nepali_name,scientific_name,equation,a,b,c,sample_size,aic,fit_rmse_kg,mean_bias_kg,adjusted_r2,operational_rmse_kg,operational_rmse_source,operational_density_basis,biomass_boundary,coefficient_source,density_source
alnus_nepalensis,utis,Alnus nepalensis,B = a * (DBH^2 * H * rho)^b,0.067139,0.956808,,52,572.91,148.1,-6.34,0.97,184.897,FRTC 2025 Table 11,FRTC species average,above 0.30 m; stump excluded,FRTC 2025 Table 9,FRTC 2025 Table 11
castanopsis_spp,katus,Castanopsis spp.,B = a * DBH^b * H^c,0.071253,2.318525,0.299393,52,599.48,265.0,-18.14,0.90,265.0,FRTC 2025 Table 9,not required,above 0.30 m; stump excluded,FRTC 2025 Table 9,FRTC 2025 Table 11
lagerstroemia_parviflora,botdhayero,Lagerstroemia parviflora,B = a * (DBH^2 * H * rho)^b,0.060964,0.971369,,46,455.63,80.4,-2.10,0.98,92.431,FRTC 2025 Table 11,FRTC species average,above 0.30 m; stump excluded,FRTC 2025 Table 9,FRTC 2025 Table 11
pinus_roxburghii,khotesallo,Pinus roxburghii,B = a * DBH^b * H^c,0.031693,2.329281,0.519366,96,1110.16,223.3,2.84,0.97,223.3,FRTC 2025 Table 9,not required,above 0.30 m; stump excluded,FRTC 2025 Table 9,FRTC 2025 Table 11
shorea_robusta,sal,Shorea robusta,B = a * (DBH^2 * H * rho)^b,0.054968,0.980885,,122,1522.86,384.1,13.57,0.97,354.007,FRTC 2025 Table 11,FRTC DBH class,above 0.30 m; stump excluded,FRTC 2025 Table 9,FRTC 2025 Table 11
schima_wallichii,chilaune,Schima wallichii,B = a * (DBH^2 * H * rho)^b,0.071359,0.951091,,47,494.61,98.8,9.56,0.98,117.852,FRTC 2025 Table 11,FRTC species average,above 0.30 m; stump excluded,FRTC 2025 Table 9,FRTC 2025 Table 11
terminalia_alata,asna,Terminalia alata,B = a * (DBH^2 * H * rho)^b,0.080156,0.943341,,61,736.85,433.2,-71.49,0.95,412.501,FRTC 2025 Table 11,FRTC DBH class,above 0.30 m; stump excluded,FRTC 2025 Table 9,FRTC 2025 Table 11
